YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2018,1246.0,6807.0,1218.0,5.5,977.0,179.0,Tabuk,Domestic
2018,60.0,453.0,57.0,7.5,951.0,126.0,Tabuk,Domestic
2018,108.0,446.0,114.0,4.1,1052.0,255.0,Tabuk,Domestic
2018,200.0,708.0,149.0,3.5,742.0,210.0,Tabuk,Domestic
2018,793.0,4706.0,811.0,5.9,1023.0,172.0,Tabuk,Domestic
2018,85.0,495.0,87.0,5.8,1032.0,177.0,Tabuk,Domestic
2018,110.0,542.0,239.0,4.9,2163.0,441.0,Tabuk,Inbound
2018,11.0,63.0,18.0,5.5,1587.0,287.0,Tabuk,Inbound
2018,6.0,21.0,10.0,3.6,1841.0,507.0,Tabuk,Inbound
2018,93.0,456.0,209.0,4.9,2252.0,459.0,Tabuk,Inbound
2018,0.3,2.0,1.0,5.3,2744.0,516.0,Tabuk,Inbound
2019,1441.0,8605.0,2050.0,6.0,1423.0,238.0,Tabuk,Domestic
2019,78.0,579.0,99.0,7.5,1277.0,171.0,Tabuk,Domestic
2019,148.0,832.0,266.0,5.6,1790.0,320.0,Tabuk,Domestic
2019,355.0,1558.0,533.0,4.4,1503.0,342.0,Tabuk,Domestic
2019,773.0,5166.0,1045.0,6.7,1352.0,202.0,Tabuk,Domestic
2019,87.0,470.0,107.0,5.4,1229.0,228.0,Tabuk,Domestic
2019,112.0,494.0,301.0,4.4,2688.0,609.0,Tabuk,Inbound
2019,0.4,2.0,2.0,5.0,5050.0,1010.0,Tabuk,Inbound
2019,9.0,60.0,20.0,6.4,2186.0,342.0,Tabuk,Inbound
2019,3.0,11.0,6.0,3.5,1902.0,551.0,Tabuk,Inbound
2019,99.0,420.0,272.0,4.3,2752.0,646.0,Tabuk,Inbound
2019,298.0,1.0,932.0,4.3,1838.0,430.0,Tabuk,Inbound
2020,2043.0,11677.0,2765.0,5.7,1354.0,237.0,Tabuk,Domestic
2020,99.2,649.0,97.0,6.6,982.0,150.0,Tabuk,Domestic
2020,230.0,1149.0,344.0,5.0,1498.0,299.0,Tabuk,Domestic
